Student ID,Student Full Name,Department Name/Code,Joining Year,Graduation Year,Contact Email,Contact Phone Number,Date of Birth,Student Address,Student City,Academic Score %,Attendance %,Got Job Offer in Campus Placement,Job Offered by Company,Starting Campus Offer Value,Notes
1001,Sana Sandal,Computer Science Engineering (CSE),2017,2021,sanasandal90@gmail.com,01257489285,1998-01-04,"H.No. 093, Sane Road, Aligarh-531803",Bhopal,80.0,94.7,No,,,No special remarks
1002,Vedika Mane,Computer Science Engineering (CSE),2018,2022,vedikamane90@gmail.com,+911491440044,1998-12-17,"H.No. 305, Borra, Gulbarga-058062",Munger,92.7,88.3,No,,,No special remarks
1003,Advika Sood,Computer Science Engineering (CSE),2018,2022,advikasood23@gmail.com,+912661027487,2000-07-11,"H.No. 95, Kapadia Zila, Ramagundam-919432",Shimla,88.6,92.1,No,,,No special remarks
1004,Diya Bora,Computer Science Engineering (CSE),2016,2020,diyabora60@gmail.com,+914549208788,2002-09-14,"18/37, Srinivas Marg, Uluberia 456453",Jamalpur,78.1,93.2,No,,,No special remarks
1005,Vaibhav Keer,Computer Science Engineering (CSE),2018,2022,vaibhavkeer53@gmail.com,01573697712,1999-03-31,"60/530, Ravel Road, North Dumdum-725405",Salem,92.8,95.8,Yes,Wipro,2252104,Got job in campus placement
1006,Alisha Kapadia,Computer Science Engineering (CSE),2016,2020,alishakapadia50@gmail.com,08583312192,1998-03-21,"H.No. 009, Kunda Street, Ajmer 472926",Dindigul,78.7,96.0,No,,,No special remarks
1007,Aniruddh Kar,Computer Science Engineering (CSE),2019,2023,aniruddhkar37@gmail.com,04122744874,2002-04-07,"H.No. 63, Tara Zila, Tirupati-106958",Morbi,82.0,95.0,No,,,No special remarks
1008,Umang Trivedi,Computer Science Engineering (CSE),2019,2023,umangtrivedi74@gmail.com,04629248789,2000-08-26,"90, Bal Chowk, Durgapur-802499",Gulbarga,92.4,94.3,No,,,No special remarks
1009,Tejas Kaul,Computer Science Engineering (CSE),2016,2020,tejaskaul60@gmail.com,3514517364,2003-07-16,"20, Baral Marg, Kishanganj 146840",Guntakal,84.9,86.2,No,,,No special remarks
1010,Siya Chauhan,Computer Science Engineering (CSE),2016,2020,siyachauhan69@gmail.com,+913364745037,2002-12-16,"93/454, Kara Zila, Kozhikode 967995",Madhyamgram,87.7,90.3,Yes,Zoho Corporation,2348088,Got job in campus placement
